id,user_id,msg,link,read,created_at,updated_at
1,1,Welecome to Report Working App,/users/1,unread,2022-08-03 05:46:43 UTC,2022-08-03 05:46:43 UTC
3,3,Welecome to Report Working App,/users/3,unread,2022-08-03 05:46:47 UTC,2022-08-03 05:46:47 UTC
4,4,Welecome to Report Working App,/users/4,unread,2022-08-03 05:46:49 UTC,2022-08-03 05:46:49 UTC
5,5,Welecome to Report Working App,/users/5,unread,2022-08-03 05:46:51 UTC,2022-08-03 05:46:51 UTC
6,6,Welecome to Report Working App,/users/6,unread,2022-08-03 05:46:52 UTC,2022-08-03 05:46:52 UTC
7,7,Welecome to Report Working App,/users/7,unread,2022-08-03 05:46:54 UTC,2022-08-03 05:46:54 UTC
8,8,Welecome to Report Working App,/users/8,unread,2022-08-03 05:46:55 UTC,2022-08-03 05:46:55 UTC
9,9,Welecome to Report Working App,/users/9,unread,2022-08-03 05:46:57 UTC,2022-08-03 05:46:57 UTC
10,10,Welecome to Report Working App,/users/10,unread,2022-08-03 05:46:59 UTC,2022-08-03 05:46:59 UTC
11,11,Welecome to Report Working App,/users/11,unread,2022-08-03 05:47:00 UTC,2022-08-03 05:47:00 UTC
12,12,Welecome to Report Working App,/users/12,unread,2022-08-03 05:47:02 UTC,2022-08-03 05:47:02 UTC
13,13,Welecome to Report Working App,/users/13,unread,2022-08-03 05:47:04 UTC,2022-08-03 05:47:04 UTC
14,14,Welecome to Report Working App,/users/14,unread,2022-08-03 05:47:05 UTC,2022-08-03 05:47:05 UTC
15,15,Welecome to Report Working App,/users/15,unread,2022-08-03 05:47:07 UTC,2022-08-03 05:47:07 UTC
16,16,Welecome to Report Working App,/users/16,unread,2022-08-03 05:47:09 UTC,2022-08-03 05:47:09 UTC
17,17,Welecome to Report Working App,/users/17,unread,2022-08-03 05:47:10 UTC,2022-08-03 05:47:10 UTC
18,18,Welecome to Report Working App,/users/18,unread,2022-08-03 05:47:12 UTC,2022-08-03 05:47:12 UTC
19,19,Welecome to Report Working App,/users/19,unread,2022-08-03 05:47:14 UTC,2022-08-03 05:47:14 UTC
20,20,Welecome to Report Working App,/users/20,unread,2022-08-03 05:47:15 UTC,2022-08-03 05:47:15 UTC
21,21,Welecome to Report Working App,/users/21,unread,2022-08-03 05:47:17 UTC,2022-08-03 05:47:17 UTC
22,22,Welecome to Report Working App,/users/22,unread,2022-08-03 05:47:18 UTC,2022-08-03 05:47:18 UTC
23,23,Welecome to Report Working App,/users/23,unread,2022-08-03 05:47:20 UTC,2022-08-03 05:47:20 UTC
24,24,Welecome to Report Working App,/users/24,unread,2022-08-03 05:47:22 UTC,2022-08-03 05:47:22 UTC
25,25,Welecome to Report Working App,/users/25,unread,2022-08-03 05:47:23 UTC,2022-08-03 05:47:23 UTC
26,26,Welecome to Report Working App,/users/26,unread,2022-08-03 05:47:25 UTC,2022-08-03 05:47:25 UTC
27,27,Welecome to Report Working App,/users/27,unread,2022-08-03 05:47:26 UTC,2022-08-03 05:47:26 UTC
28,28,Welecome to Report Working App,/users/28,unread,2022-08-03 05:47:28 UTC,2022-08-03 05:47:28 UTC
29,29,Welecome to Report Working App,/users/29,unread,2022-08-03 05:47:30 UTC,2022-08-03 05:47:30 UTC
30,30,Welecome to Report Working App,/users/30,unread,2022-08-03 05:47:31 UTC,2022-08-03 05:47:31 UTC
31,31,Welecome to Report Working App,/users/31,unread,2022-08-03 05:47:33 UTC,2022-08-03 05:47:33 UTC
32,32,Welecome to Report Working App,/users/32,unread,2022-08-03 05:47:35 UTC,2022-08-03 05:47:35 UTC
33,33,Welecome to Report Working App,/users/33,unread,2022-08-03 05:47:37 UTC,2022-08-03 05:47:37 UTC
34,34,Welecome to Report Working App,/users/34,unread,2022-08-03 05:47:38 UTC,2022-08-03 05:47:38 UTC
35,35,Welecome to Report Working App,/users/35,unread,2022-08-03 05:47:40 UTC,2022-08-03 05:47:40 UTC
36,36,Welecome to Report Working App,/users/36,unread,2022-08-03 05:47:41 UTC,2022-08-03 05:47:41 UTC
37,37,Welecome to Report Working App,/users/37,unread,2022-08-03 05:47:43 UTC,2022-08-03 05:47:43 UTC
38,38,Welecome to Report Working App,/users/38,unread,2022-08-03 05:47:45 UTC,2022-08-03 05:47:45 UTC
39,39,Welecome to Report Working App,/users/39,unread,2022-08-03 05:47:46 UTC,2022-08-03 05:47:46 UTC
40,40,Welecome to Report Working App,/users/40,unread,2022-08-03 05:47:48 UTC,2022-08-03 05:47:48 UTC
41,41,Welecome to Report Working App,/users/41,unread,2022-08-03 05:47:50 UTC,2022-08-03 05:47:50 UTC
42,42,Welecome to Report Working App,/users/42,unread,2022-08-03 05:47:51 UTC,2022-08-03 05:47:51 UTC
43,43,Welecome to Report Working App,/users/43,unread,2022-08-03 05:47:53 UTC,2022-08-03 05:47:53 UTC
44,44,Welecome to Report Working App,/users/44,unread,2022-08-03 05:47:55 UTC,2022-08-03 05:47:55 UTC
45,45,Welecome to Report Working App,/users/45,unread,2022-08-03 05:47:56 UTC,2022-08-03 05:47:56 UTC
46,46,Welecome to Report Working App,/users/46,unread,2022-08-03 05:47:58 UTC,2022-08-03 05:47:58 UTC
47,47,Welecome to Report Working App,/users/47,unread,2022-08-03 05:47:59 UTC,2022-08-03 05:47:59 UTC
48,48,Welecome to Report Working App,/users/48,unread,2022-08-03 05:48:01 UTC,2022-08-03 05:48:01 UTC
49,49,Welecome to Report Working App,/users/49,unread,2022-08-03 05:48:02 UTC,2022-08-03 05:48:02 UTC
50,50,Welecome to Report Working App,/users/50,unread,2022-08-03 05:48:04 UTC,2022-08-03 05:48:04 UTC
51,51,Welecome to Report Working App,/users/51,unread,2022-08-03 05:48:06 UTC,2022-08-03 05:48:06 UTC
52,52,Welecome to Report Working App,/users/52,unread,2022-08-03 05:48:07 UTC,2022-08-03 05:48:07 UTC
53,53,Welecome to Report Working App,/users/53,unread,2022-08-03 05:48:09 UTC,2022-08-03 05:48:09 UTC
54,54,Welecome to Report Working App,/users/54,unread,2022-08-03 05:48:11 UTC,2022-08-03 05:48:11 UTC
55,55,Welecome to Report Working App,/users/55,unread,2022-08-03 05:48:12 UTC,2022-08-03 05:48:12 UTC
56,56,Welecome to Report Working App,/users/56,unread,2022-08-03 05:48:14 UTC,2022-08-03 05:48:14 UTC
57,57,Welecome to Report Working App,/users/57,unread,2022-08-03 05:48:16 UTC,2022-08-03 05:48:16 UTC
58,58,Welecome to Report Working App,/users/58,unread,2022-08-03 05:48:17 UTC,2022-08-03 05:48:17 UTC
59,59,Welecome to Report Working App,/users/59,unread,2022-08-03 05:48:19 UTC,2022-08-03 05:48:19 UTC
60,60,Welecome to Report Working App,/users/60,unread,2022-08-03 05:48:20 UTC,2022-08-03 05:48:20 UTC
61,61,Welecome to Report Working App,/users/61,unread,2022-08-03 05:48:22 UTC,2022-08-03 05:48:22 UTC
62,62,Welecome to Report Working App,/users/62,unread,2022-08-03 05:48:24 UTC,2022-08-03 05:48:24 UTC
63,63,Welecome to Report Working App,/users/63,unread,2022-08-03 05:48:25 UTC,2022-08-03 05:48:25 UTC
64,64,Welecome to Report Working App,/users/64,unread,2022-08-03 05:48:27 UTC,2022-08-03 05:48:27 UTC
65,65,Welecome to Report Working App,/users/65,unread,2022-08-03 05:48:29 UTC,2022-08-03 05:48:29 UTC
66,66,Welecome to Report Working App,/users/66,unread,2022-08-03 05:48:31 UTC,2022-08-03 05:48:31 UTC
67,67,Welecome to Report Working App,/users/67,unread,2022-08-03 05:48:33 UTC,2022-08-03 05:48:33 UTC
68,68,Welecome to Report Working App,/users/68,unread,2022-08-03 05:48:34 UTC,2022-08-03 05:48:34 UTC
69,69,Welecome to Report Working App,/users/69,unread,2022-08-03 05:48:36 UTC,2022-08-03 05:48:36 UTC
70,70,Welecome to Report Working App,/users/70,unread,2022-08-03 05:48:38 UTC,2022-08-03 05:48:38 UTC
71,71,Welecome to Report Working App,/users/71,unread,2022-08-03 05:48:39 UTC,2022-08-03 05:48:39 UTC
72,72,Welecome to Report Working App,/users/72,unread,2022-08-03 05:48:41 UTC,2022-08-03 05:48:41 UTC
73,73,Welecome to Report Working App,/users/73,unread,2022-08-03 05:48:42 UTC,2022-08-03 05:48:42 UTC
74,74,Welecome to Report Working App,/users/74,unread,2022-08-03 05:48:44 UTC,2022-08-03 05:48:44 UTC
75,75,Welecome to Report Working App,/users/75,unread,2022-08-03 05:48:46 UTC,2022-08-03 05:48:46 UTC
76,76,Welecome to Report Working App,/users/76,unread,2022-08-03 05:48:47 UTC,2022-08-03 05:48:47 UTC
77,77,Welecome to Report Working App,/users/77,unread,2022-08-03 05:48:49 UTC,2022-08-03 05:48:49 UTC
78,78,Welecome to Report Working App,/users/78,unread,2022-08-03 05:48:50 UTC,2022-08-03 05:48:50 UTC
79,79,Welecome to Report Working App,/users/79,unread,2022-08-03 05:48:52 UTC,2022-08-03 05:48:52 UTC
80,80,Welecome to Report Working App,/users/80,unread,2022-08-03 05:48:53 UTC,2022-08-03 05:48:53 UTC
81,81,Welecome to Report Working App,/users/81,unread,2022-08-03 05:48:55 UTC,2022-08-03 05:48:55 UTC
82,82,Welecome to Report Working App,/users/82,unread,2022-08-03 05:48:56 UTC,2022-08-03 05:48:56 UTC
83,83,Welecome to Report Working App,/users/83,unread,2022-08-03 05:48:59 UTC,2022-08-03 05:48:59 UTC
84,84,Welecome to Report Working App,/users/84,unread,2022-08-03 05:49:01 UTC,2022-08-03 05:49:01 UTC
85,85,Welecome to Report Working App,/users/85,unread,2022-08-03 05:49:02 UTC,2022-08-03 05:49:02 UTC
86,86,Welecome to Report Working App,/users/86,unread,2022-08-03 05:49:04 UTC,2022-08-03 05:49:04 UTC
87,87,Welecome to Report Working App,/users/87,unread,2022-08-03 05:49:06 UTC,2022-08-03 05:49:06 UTC
88,88,Welecome to Report Working App,/users/88,unread,2022-08-03 05:49:07 UTC,2022-08-03 05:49:07 UTC
89,89,Welecome to Report Working App,/users/89,unread,2022-08-03 05:49:09 UTC,2022-08-03 05:49:09 UTC
90,90,Welecome to Report Working App,/users/90,unread,2022-08-03 05:49:10 UTC,2022-08-03 05:49:10 UTC
91,91,Welecome to Report Working App,/users/91,unread,2022-08-03 05:49:12 UTC,2022-08-03 05:49:12 UTC
92,92,Welecome to Report Working App,/users/92,unread,2022-08-03 05:49:14 UTC,2022-08-03 05:49:14 UTC
93,93,Welecome to Report Working App,/users/93,unread,2022-08-03 05:49:15 UTC,2022-08-03 05:49:15 UTC
94,94,Welecome to Report Working App,/users/94,unread,2022-08-03 05:49:17 UTC,2022-08-03 05:49:17 UTC
95,95,Welecome to Report Working App,/users/95,unread,2022-08-03 05:49:19 UTC,2022-08-03 05:49:19 UTC
96,96,Welecome to Report Working App,/users/96,unread,2022-08-03 05:49:20 UTC,2022-08-03 05:49:20 UTC
97,97,Welecome to Report Working App,/users/97,unread,2022-08-03 05:49:22 UTC,2022-08-03 05:49:22 UTC
98,98,Welecome to Report Working App,/users/98,unread,2022-08-03 05:49:23 UTC,2022-08-03 05:49:23 UTC
99,99,Welecome to Report Working App,/users/99,unread,2022-08-03 05:49:25 UTC,2022-08-03 05:49:25 UTC
100,100,Welecome to Report Working App,/users/100,unread,2022-08-03 05:49:26 UTC,2022-08-03 05:49:26 UTC
101,1,Your role was modified,/departments/1,unread,2022-08-03 05:49:28 UTC,2022-08-03 05:49:28 UTC
103,3,Your role was modified,/departments/1,unread,2022-08-03 05:49:28 UTC,2022-08-03 05:49:28 UTC
104,4,Your role was modified,/departments/1,unread,2022-08-03 05:49:28 UTC,2022-08-03 05:49:28 UTC
105,5,Your role was modified,/departments/1,unread,2022-08-03 05:49:28 UTC,2022-08-03 05:49:28 UTC
106,6,Your role was modified,/departments/1,unread,2022-08-03 05:49:28 UTC,2022-08-03 05:49:28 UTC
107,7,Your role was modified,/departments/1,unread,2022-08-03 05:49:28 UTC,2022-08-03 05:49:28 UTC
108,8,Your role was modified,/departments/1,unread,2022-08-03 05:49:28 UTC,2022-08-03 05:49:28 UTC
109,9,Your role was modified,/departments/1,unread,2022-08-03 05:49:28 UTC,2022-08-03 05:49:28 UTC
110,10,Your role was modified,/departments/1,unread,2022-08-03 05:49:28 UTC,2022-08-03 05:49:28 UTC
111,11,Your role was modified,/departments/1,unread,2022-08-03 05:49:28 UTC,2022-08-03 05:49:28 UTC
112,12,Your role was modified,/departments/1,unread,2022-08-03 05:49:28 UTC,2022-08-03 05:49:28 UTC
113,13,Your role was modified,/departments/1,unread,2022-08-03 05:49:28 UTC,2022-08-03 05:49:28 UTC
114,14,Your role was modified,/departments/1,unread,2022-08-03 05:49:28 UTC,2022-08-03 05:49:28 UTC
115,15,Your role was modified,/departments/1,unread,2022-08-03 05:49:28 UTC,2022-08-03 05:49:28 UTC
116,16,Your role was modified,/departments/1,unread,2022-08-03 05:49:28 UTC,2022-08-03 05:49:28 UTC
117,17,Your role was modified,/departments/1,unread,2022-08-03 05:49:28 UTC,2022-08-03 05:49:28 UTC
118,18,Your role was modified,/departments/1,unread,2022-08-03 05:49:28 UTC,2022-08-03 05:49:28 UTC
119,19,Your role was modified,/departments/1,unread,2022-08-03 05:49:28 UTC,2022-08-03 05:49:28 UTC
120,20,Your role was modified,/departments/1,unread,2022-08-03 05:49:28 UTC,2022-08-03 05:49:28 UTC
121,21,Your role was modified,/departments/1,unread,2022-08-03 05:49:28 UTC,2022-08-03 05:49:28 UTC
122,22,Your role was modified,/departments/1,unread,2022-08-03 05:49:28 UTC,2022-08-03 05:49:28 UTC
123,23,Your role was modified,/departments/1,unread,2022-08-03 05:49:28 UTC,2022-08-03 05:49:28 UTC
124,24,Your role was modified,/departments/1,unread,2022-08-03 05:49:28 UTC,2022-08-03 05:49:28 UTC
125,25,Your role was modified,/departments/1,unread,2022-08-03 05:49:28 UTC,2022-08-03 05:49:28 UTC
126,26,Your role was modified,/departments/1,unread,2022-08-03 05:49:28 UTC,2022-08-03 05:49:28 UTC
127,27,Your role was modified,/departments/1,unread,2022-08-03 05:49:28 UTC,2022-08-03 05:49:28 UTC
128,28,Your role was modified,/departments/1,unread,2022-08-03 05:49:28 UTC,2022-08-03 05:49:28 UTC
129,29,Your role was modified,/departments/1,unread,2022-08-03 05:49:28 UTC,2022-08-03 05:49:28 UTC
130,30,Your role was modified,/departments/1,unread,2022-08-03 05:49:28 UTC,2022-08-03 05:49:28 UTC
131,31,Your role was modified,/departments/1,unread,2022-08-03 05:49:28 UTC,2022-08-03 05:49:28 UTC
132,32,Your role was modified,/departments/1,unread,2022-08-03 05:49:28 UTC,2022-08-03 05:49:28 UTC
133,33,Your role was modified,/departments/1,unread,2022-08-03 05:49:28 UTC,2022-08-03 05:49:28 UTC
134,34,Your role was modified,/departments/1,unread,2022-08-03 05:49:28 UTC,2022-08-03 05:49:28 UTC
135,35,Your role was modified,/departments/1,unread,2022-08-03 05:49:28 UTC,2022-08-03 05:49:28 UTC
136,36,Your role was modified,/departments/1,unread,2022-08-03 05:49:28 UTC,2022-08-03 05:49:28 UTC
137,37,Your role was modified,/departments/1,unread,2022-08-03 05:49:28 UTC,2022-08-03 05:49:28 UTC
138,38,Your role was modified,/departments/1,unread,2022-08-03 05:49:28 UTC,2022-08-03 05:49:28 UTC
139,39,Your role was modified,/departments/1,unread,2022-08-03 05:49:28 UTC,2022-08-03 05:49:28 UTC
140,40,Your role was modified,/departments/1,unread,2022-08-03 05:49:28 UTC,2022-08-03 05:49:28 UTC
141,41,Your role was modified,/departments/1,unread,2022-08-03 05:49:28 UTC,2022-08-03 05:49:28 UTC
142,42,Your role was modified,/departments/1,unread,2022-08-03 05:49:28 UTC,2022-08-03 05:49:28 UTC
143,43,Your role was modified,/departments/1,unread,2022-08-03 05:49:28 UTC,2022-08-03 05:49:28 UTC
144,44,Your role was modified,/departments/1,unread,2022-08-03 05:49:28 UTC,2022-08-03 05:49:28 UTC
145,45,Your role was modified,/departments/1,unread,2022-08-03 05:49:28 UTC,2022-08-03 05:49:28 UTC
146,46,Your role was modified,/departments/1,unread,2022-08-03 05:49:28 UTC,2022-08-03 05:49:28 UTC
147,47,Your role was modified,/departments/1,unread,2022-08-03 05:49:28 UTC,2022-08-03 05:49:28 UTC
148,48,Your role was modified,/departments/1,unread,2022-08-03 05:49:28 UTC,2022-08-03 05:49:28 UTC
